idade,data,estado,salario,nivel_educacao,numero_filhos,estado_civil,area_atuacao,salario_log,salario_boxcox,frequencia_estado,interacao_idade_nfilhos
56,1968-01-19,Pará,13550.54,Ensino Médio,0,Casado,Tecnologia,9.514255472986349,10.182573696106054,0.03812724533549658,0
49,1975-01-31,Rio Grande do Norte,3124.72,Ensino Médio,3,Casado,Indústria,8.047419935632497,8.522194951042593,0.037316027349634955,147
54,1969-08-26,Minas Gerais,7534.6,Ensino Médio,0,Casado,Tecnologia,8.927393736291219,9.514150188923235,0.03673658593116236,0
61,1963-03-19,Amapá,4067.73,Ensino Fundamental,1,Solteiro,Comércio,8.311086190430204,8.818122679376248,0.0369683624985514,61
30,1993-12-09,Alagoas,6809.94,Ensino Médio,1,Casado,Tecnologia,8.826285421923409,9.399547899775946,0.03279638428554873,30
54,1969-06-24,Pará,9025.74,Ensino Médio,1,Solteiro,Indústria,9.10794656240191,9.719206881450043,0.03812724533549658,54
28,1996-03-25,Tocantins,9493.67,Ensino Superior,1,Casado,Comércio,9.158485867508132,9.776698826309593,0.0369683624985514,28
30,1993-06-20,Tocantins,4072.6,Ensino Médio,0,Solteiro,Educação,8.312282408363087,8.819467774018243,0.0369683624985514,0
24,2000-02-21,Rio Grande do Norte,4039.96,Ensino Fundamental,1,Solteiro,Indústria,8.304237566489517,8.810422139036602,0.037316027349634955,24
35,1988-08-02,Amazonas,3457.97,Ensino Fundamental,1,Viúvo,Indústria,8.148726135872671,8.635766452700949,0.039170239888747245,35
29,1995-02-22,Rio Grande do Norte,3913.59,Ensino Médio,1,Casado,Educação,8.272465877525745,8.774708028875102,0.037316027349634955,29
39,1984-12-08,Rio Grande do Sul,11956.86,Ensino Superior,1,Divorciado,Saúde,9.389144081728896,10.03960971643232,0.0400973461583034,39
27,1996-11-08,São Paulo,4741.55,Ensino Fundamental,2,Casado,Tecnologia,8.464330244716166,8.99062391272828,0.0382431336191911,54
